name,displayName,description,category1,category2,category3,category4,option1Name,option1DisplayName,option1Description,option2Name,option2DisplayName,option2Description,option3Name,option3DisplayName,option3Description,option4Name,option4DisplayName,option4Description,option5Name,option5DisplayName,option5Description,option6Name,option6DisplayName,option6Description,ecosystem,packageName,version
org.openrewrite.java.ChangeMethodInvocationReturnType,Change method invocation return type,Changes the return type of a method invocation.,Java,Openrewrite,Org,,methodPattern,Method pattern,"A [method pattern](https://docs.openrewrite.org/reference/method-patterns) is used to find matching method invocations. For example, to find all method invocations in the Guava library, use the pattern: `com.google.common..*#*(..)`.<br/><br/>The pattern format is `<PACKAGE>#<METHOD_NAME>(<ARGS>)`. <br/><br/>`..*` includes all subpackages of `com.google.common`. <br/>`*(..)` matches any method name with any number of arguments. <br/><br/>For more specific queries, like Guava's `ImmutableMap`, use `com.google.common.collect.ImmutableMap#*(..)` to narrow down the results.",newReturnType,New method invocation return type,The fully qualified new return type of method invocation.,,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.ChangeMethodName,Change method name,Rename a method.,Java,Openrewrite,Org,,methodPattern,Method pattern,"A [method pattern](https://docs.openrewrite.org/reference/method-patterns) is used to find matching method invocations. For example, to find all method invocations in the Guava library, use the pattern: `com.google.common..*#*(..)`.<br/><br/>The pattern format is `<PACKAGE>#<METHOD_NAME>(<ARGS>)`. <br/><br/>`..*` includes all subpackages of `com.google.common`. <br/>`*(..)` matches any method name with any number of arguments. <br/><br/>For more specific queries, like Guava's `ImmutableMap`, use `com.google.common.collect.ImmutableMap#*(..)` to narrow down the results.",newMethodName,New method name,The method name that will replace the existing name.,matchOverrides,Match on overrides,"When enabled, find methods that are overrides of the method pattern.",ignoreDefinition,Ignore type definition,When set to `true` the definition of the old type will be left untouched. This is useful when you're replacing usage of a class but don't want to rename it.,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.ChangeMethodTargetToStatic,Change method target to static,Change method invocations to static method calls.,Java,Openrewrite,Org,,methodPattern,Method pattern,"The original method call may or may not be a static method invocation. A [method pattern](https://docs.openrewrite.org/reference/method-patterns) is used to find matching method invocations. For example, to find all method invocations in the Guava library, use the pattern: `com.google.common..*#*(..)`.<br/><br/>The pattern format is `<PACKAGE>#<METHOD_NAME>(<ARGS>)`. <br/><br/>`..*` includes all subpackages of `com.google.common`. <br/>`*(..)` matches any method name with any number of arguments. <br/><br/>For more specific queries, like Guava's `ImmutableMap`, use `com.google.common.collect.ImmutableMap#*(..)` to narrow down the results.",fullyQualifiedTargetTypeName,Fully-qualified target type name,A fully-qualified class name of the type upon which the static method is defined.,returnType,Return type after change,"Sometimes changing the target type also changes the return type. In the Guava example, changing from `ImmutableSet#of(..)` to `Set#of(..)` widens the return type from Guava's `ImmutableSet` to just `java.util.Set`.",matchOverrides,Match on overrides,"When enabled, find methods that are overrides of the method pattern.",matchUnknownTypes,Match unknown types,"When enabled, include method invocations which appear to match if full type information is missing. Using matchUnknownTypes can improve recipe resiliency for an AST with missing type information, but also increases the risk of false-positive matches on unrelated method invocations.",,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.ChangeMethodTargetToVariable,Change method target to variable,Change method invocations to method calls on a variable.,Java,Openrewrite,Org,,methodPattern,Method pattern,"A [method pattern](https://docs.openrewrite.org/reference/method-patterns) is used to find matching method invocations. For example, to find all method invocations in the Guava library, use the pattern: `com.google.common..*#*(..)`.<br/><br/>The pattern format is `<PACKAGE>#<METHOD_NAME>(<ARGS>)`. <br/><br/>`..*` includes all subpackages of `com.google.common`. <br/>`*(..)` matches any method name with any number of arguments. <br/><br/>For more specific queries, like Guava's `ImmutableMap`, use `com.google.common.collect.ImmutableMap#*(..)` to narrow down the results.",variableName,Variable name,Name of variable to use as target for the modified method invocation.,variableType,Variable type,Type attribution to use for the return type of the modified method invocation.,matchOverrides,Match on overrides,"When enabled, find methods that are overrides of the method pattern.",,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.ChangePackage,Rename package name,"A recipe that will rename a package name in package statements, imports, and fully-qualified types.",Java,Openrewrite,Org,,oldPackageName,Old package name,The package name to replace.,newPackageName,New package name,New package name to replace the old package name with.,recursive,Recursive,Recursively change subpackage names,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.ChangePackageInStringLiteral,Rename package name in String literals,A recipe that will rename a package name in String literals.,Java,Openrewrite,Org,,oldPackageName,Old package name,The package name to replace.,newPackageName,New package name,New package name to replace the old package name with.,,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.ChangeStaticFieldToMethod,Change static field access to static method access,Migrate accesses to a static field to invocations of a static method.,Java,Openrewrite,Org,,oldClassName,Old class name,The fully qualified name of the class containing the field to replace.,oldFieldName,Old field name,The simple name of the static field to replace.,newClassName,New class name,The fully qualified name of the class containing the method to use. Leave empty to keep the same class.,newTarget,New field target,An optional method target that can be used to specify a static field within the new class.,newMethodName,New method name,The simple name of the method to use. The method must be static and have no arguments.,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.ChangeType,Change type,Change a given type to another.,Java,Openrewrite,Org,,oldFullyQualifiedTypeName,Old fully-qualified type name,Fully-qualified class name of the original type.,newFullyQualifiedTypeName,New fully-qualified type name,"Fully-qualified class name of the replacement type, or the name of a primitive such as ""int"". The `OuterClassName$NestedClassName` naming convention should be used for nested classes.",ignoreDefinition,Ignore type definition,When set to `true` the definition of the old type will be left untouched. This is useful when you're replacing usage of a class but don't want to rename it.,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.ChangeTypeInStringLiteral,Change type in String literals,Change a given type to another when used in a String literal.,Java,Openrewrite,Org,,oldFullyQualifiedTypeName,Old fully-qualified type name,Fully-qualified class name of the original type.,newFullyQualifiedTypeName,New fully-qualified type name,"Fully-qualified class name of the replacement type, or the name of a primitive such as ""int"". The `OuterClassName$NestedClassName` naming convention should be used for nested classes.",,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.DeleteMethodArgument,Delete method argument,Delete an argument from method invocations.,Java,Openrewrite,Org,,methodPattern,Method pattern,"A [method pattern](https://docs.openrewrite.org/reference/method-patterns) is used to find matching method invocations. For example, to find all method invocations in the Guava library, use the pattern: `com.google.common..*#*(..)`.<br/><br/>The pattern format is `<PACKAGE>#<METHOD_NAME>(<ARGS>)`. <br/><br/>`..*` includes all subpackages of `com.google.common`. <br/>`*(..)` matches any method name with any number of arguments. <br/><br/>For more specific queries, like Guava's `ImmutableMap`, use `com.google.common.collect.ImmutableMap#*(..)` to narrow down the results.",argumentIndex,Argument index,A zero-based index that indicates which argument will be removed from the method invocation.,,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.InlineMethodCalls,Inline method calls,"Inline method calls using a template replacement pattern. Supports both method invocations and constructor calls, with optional imports.",Java,Openrewrite,Org,,methodPattern,Method pattern,A method pattern that is used to find matching method invocations.,replacement,Replacement template,The replacement template for the method invocation. Parameters can be referenced using their names from the original method.,imports,Imports,List of regular imports to add when the replacement is made.,staticImports,Static imports,List of static imports to add when the replacement is made.,classpathFromResources,Classpath from resources,List of paths to JAR files on the classpath for parsing the replacement template.,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.NoStaticImport,Remove static import,"Removes static imports and replaces them with qualified references. For example, `emptyList()` becomes `Collections.emptyList()`.",Java,Openrewrite,Org,,methodPattern,Method pattern,"A [method pattern](https://docs.openrewrite.org/reference/method-patterns) is used to find matching method invocations. For example, to find all method invocations in the Guava library, use the pattern: `com.google.common..*#*(..)`.<br/><br/>The pattern format is `<PACKAGE>#<METHOD_NAME>(<ARGS>)`. <br/><br/>`..*` includes all subpackages of `com.google.common`. <br/>`*(..)` matches any method name with any number of arguments. <br/><br/>For more specific queries, like Guava's `ImmutableMap`, use `com.google.common.collect.ImmutableMap#*(..)` to narrow down the results.",,,,,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.OrderImports,Order imports,"Groups and orders import statements. If a [style has been defined](https://docs.openrewrite.org/concepts-and-explanations/styles), this recipe will order the imports according to that style. If no style is detected, this recipe will default to ordering imports in the same way that IntelliJ IDEA does.",Java,Openrewrite,Org,,removeUnused,Remove unused,Remove unnecessary imports.,,,,,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.RandomizeId,Randomize tree IDs,Scramble the IDs. This was intended as a utility to test _en masse_ different techniques for UUID generation and compare their relative performance outside a microbenchmark.,Java,Openrewrite,Org,,,,,,,,,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.RecipeMarkupDemonstration,Demonstrate rendering of `Markup` markers,Tooling may decide to elide or display differently markup of different levels.,Java,Openrewrite,Org,,level,Level,The `Markup#Level` to add.,,,,,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.RemoveAnnotation,Remove annotation,Remove matching annotations wherever they occur.,Java,Openrewrite,Org,,annotationPattern,Annotation pattern,"An annotation pattern, expressed as a method pattern.",,,,,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.RemoveAnnotationAttribute,Remove annotation attribute,Some annotations accept arguments. This recipe removes an existing attribute.,Java,Openrewrite,Org,,annotationType,Annotation Type,The fully qualified name of the annotation.,attributeName,Attribute name,The name of attribute to remove.,,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.RemoveImplements,Remove interface implementations,Removes `implements` clauses from classes implementing the specified interface. Removes `@Overrides` annotations from methods which no longer override anything.,Java,Openrewrite,Org,,interfaceType,Interface type,The fully qualified name of the interface to remove.,filter,Filter,Only apply the interface removal to classes with fully qualified names that begin with this filter. `null` or empty matches all classes.,,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.RemoveMethodInvocations,Remove method invocations,Remove method invocations if syntactically safe.,Java,Openrewrite,Org,,methodPattern,Method pattern,"A pattern to match method invocations for removal. A [method pattern](https://docs.openrewrite.org/reference/method-patterns) is used to find matching method invocations. For example, to find all method invocations in the Guava library, use the pattern: `com.google.common..*#*(..)`.<br/><br/>The pattern format is `<PACKAGE>#<METHOD_NAME>(<ARGS>)`. <br/><br/>`..*` includes all subpackages of `com.google.common`. <br/>`*(..)` matches any method name with any number of arguments. <br/><br/>For more specific queries, like Guava's `ImmutableMap`, use `com.google.common.collect.ImmutableMap#*(..)` to narrow down the results.",,,,,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.RemoveObjectsIsNull,Transform calls to `Objects.isNull(..)` and `Objects.nonNull(..)`,Replace calls to `Objects.isNull(..)` and `Objects.nonNull(..)` with a simple null check. Using these methods outside of stream predicates is not idiomatic.,Java,Openrewrite,Org,,,,,,,,,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.RemoveUnusedImports,Remove unused imports,"Remove imports for types that are not referenced. As a precaution against incorrect changes no imports will be removed from any source where unknown types are referenced. The most common cause of unknown types is the use of annotation processors not supported by OpenRewrite, such as lombok.",Java,Openrewrite,Org,,,,,,,,,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.ReorderMethodArguments,Reorder method arguments,Reorder method arguments into the specified order.,Java,Openrewrite,Org,,methodPattern,Method pattern,"A [method pattern](https://docs.openrewrite.org/reference/method-patterns) is used to find matching method invocations. For example, to find all method invocations in the Guava library, use the pattern: `com.google.common..*#*(..)`.<br/><br/>The pattern format is `<PACKAGE>#<METHOD_NAME>(<ARGS>)`. <br/><br/>`..*` includes all subpackages of `com.google.common`. <br/>`*(..)` matches any method name with any number of arguments. <br/><br/>For more specific queries, like Guava's `ImmutableMap`, use `com.google.common.collect.ImmutableMap#*(..)` to narrow down the results.",newParameterNames,New parameter names,An array of parameter names that indicates the new order in which those arguments should be arranged.,oldParameterNames,Old parameter names,"If the original method signature is not type-attributed, this is an optional list that indicates the original order in which the arguments were arranged.",ignoreDefinition,Ignore type definition,When set to `true` the definition of the old type will be left untouched. This is useful when you're replacing usage of a class but don't want to rename it.,matchOverrides,Match on overrides,"When enabled, find methods that are overrides of the method pattern.",,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.ReplaceAnnotation,Replace annotation,Replace an Annotation with another one if the annotation pattern matches. Only fixed parameters can be set in the replacement.,Java,Openrewrite,Org,,annotationPatternToReplace,Annotation to replace,"An annotation matcher, expressed as a method pattern to replace.",annotationTemplateToInsert,Annotation template to insert,"An annotation template to add instead of original one, will be parsed with `JavaTemplate`.",classpathResourceName,Classpath resource,If the annotation's type is defined by a jar within the META-INF/rewrite/classpath directory provide its name here so that it can be loaded. When this parameter is not passed the runtime classpath of the recipe is provided to the parser producing the new annotation. This is necessary when the annotation is not on the runtime classpath of the recipe and isn't in the Java standard library.,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.ReplaceConstant,Replace constant with literal value,Replace a named constant with a literal value when you wish to remove the old constant. A `String` literal must include escaped quotes.,Java,Openrewrite,Org,,owningType,Owning type of the constant,The target type in which the constant to be replaced is defined.,constantName,Constant name,The name of the constant field to replace.,literalValue,Literal value,The literal value to replace.,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.ReplaceConstantWithAnotherConstant,Replace constant with another constant,"Replace a constant with another constant, adding/removing import on class if needed.",Java,Openrewrite,Org,,existingFullyQualifiedConstantName,Fully qualified name of the constant to replace,,fullyQualifiedConstantName,Fully qualified name of the constant to use in place of existing constant,,,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.ReplaceMethodInvocationWithConstant,Replace method invocation with constant,Replace all method invocations matching the method pattern with the specified constant.,Java,Openrewrite,Org,,methodPattern,Method pattern,"A pattern to match method invocations to replace. A [method pattern](https://docs.openrewrite.org/reference/method-patterns) is used to find matching method invocations. For example, to find all method invocations in the Guava library, use the pattern: `com.google.common..*#*(..)`.<br/><br/>The pattern format is `<PACKAGE>#<METHOD_NAME>(<ARGS>)`. <br/><br/>`..*` includes all subpackages of `com.google.common`. <br/>`*(..)` matches any method name with any number of arguments. <br/><br/>For more specific queries, like Guava's `ImmutableMap`, use `com.google.common.collect.ImmutableMap#*(..)` to narrow down the results.",replacement,Replacement,The constant to replace the method invocation with.,,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.ReplaceStringLiteralValue,Replace `String` literal,Replace the value of a complete `String` literal.,Java,Openrewrite,Org,,oldLiteralValue,Old literal `String` value,The `String` value to replace.,newLiteralValue,New literal `String` value,The `String` value to replace with.,,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.ReplaceStringLiteralWithConstant,Replace String literal with constant,"Replace String literal with constant, adding import on class if needed.",Java,Openrewrite,Org,,literalValue,String literal value to replace,"The literal that is to be replaced. If not configured, the value of the specified constant will be used by default.",fullyQualifiedConstantName,Fully qualified name of the constant to use in place of String literal,,,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.ShortenFullyQualifiedTypeReferences,Add imports for fully qualified references to types,"Any fully qualified references to Java types will be replaced with corresponding simple names and import statements, provided that it doesn't result in any conflicts with other imports or types declared in the local compilation unit.",Java,Openrewrite,Org,,,,,,,,,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.SimplifyMethodChain,Simplify a call chain,Simplify `a.b().c()` to `a.d()`.,Java,Openrewrite,Org,,methodPatternChain,Method pattern chain,A list of method patterns that are called in sequence,newMethodName,New method name,The method name that will replace the existing name. The new method name target is assumed to have the same arguments as the last method in the chain.,matchOverrides,Match on overrides,"When enabled, find methods that are overrides of the method pattern.",,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.SimplifySingleElementAnnotation,Simplify single-element annotation,"This recipe will remove the attribute `value` on single-element annotations. According to JLS, a _single-element annotation_, is a shorthand designed for use with single-element annotation types.",Java,Openrewrite,Org,,,,,,,,,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.UpdateSourcePositions,Update source positions,Calculate start position and length for every LST element.,Java,Openrewrite,Org,,,,,,,,,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.UseStaticImport,Use static import,"Removes unnecessary receiver types from static method invocations. For example, `Collections.emptyList()` becomes `emptyList()`.",Java,Openrewrite,Org,,methodPattern,Method pattern,"A [method pattern](https://docs.openrewrite.org/reference/method-patterns) is used to find matching method invocations. For example, to find all method invocations in the Guava library, use the pattern: `com.google.common..*#*(..)`.<br/><br/>The pattern format is `<PACKAGE>#<METHOD_NAME>(<ARGS>)`. <br/><br/>`..*` includes all subpackages of `com.google.common`. <br/>`*(..)` matches any method name with any number of arguments. <br/><br/>For more specific queries, like Guava's `ImmutableMap`, use `com.google.common.collect.ImmutableMap#*(..)` to narrow down the results.",,,,,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.CreateEmptyJavaClass,Create Java class,"Create a new, empty Java class.",Java,Openrewrite,Org,,sourceRoot,Source root,The source root of the new class file.,packageName,Package name,The package of the new class.,modifier,Modifier,The class modifier.,className,Class name,File path of new file.,overwriteExisting,Overwrite existing file,"If there is an existing file, should it be overwritten.",relativePath,Relative directory path,Directory path of new class.,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.AddApache2LicenseHeader,Add ASLv2 license header,Adds the Apache Software License Version 2.0 to Java source files which are missing a license header.,Java,Openrewrite,Org,,,,,,,,,,,,,,,,,,,,yaml,maven-rewrite-yaml:org.openrewrite:rewrite-core:8.64.0-SNAPSHOT!/META-INF/rewrite/apache-license-header.yml,8.64.0-SNAPSHOT
org.openrewrite.java.ai.ClassDefinitionLength,Calculate token length of classes,Locates class definitions and predicts the number of token in each.,AI tools,Java,Openrewrite,Org,,,,,,,,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.ai.MethodDefinitionLength,Calculate token length of method definitions,Locates method definitions and predicts the number of token in each.,AI tools,Java,Openrewrite,Org,,,,,,,,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.format.AutoFormat,Format Java code,Format Java code using a standard comprehensive set of Java formatting recipes.,Format,Java,Openrewrite,Org,,,,,,,,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.format.BlankLines,Blank lines,Add and/or remove blank lines.,Format,Java,Openrewrite,Org,,,,,,,,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.format.EmptyNewlineAtEndOfFile,End files with a single newline,Some tools work better when files end with an empty line.,Format,Java,Openrewrite,Org,,,,,,,,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.format.MethodParamPad,Method parameter padding,"Fixes whitespace padding between the identifier of a method definition or method invocation and the left parenthesis of the parameter list. For example, when configured to remove spacing, `someMethodInvocation (x);` becomes `someMethodInvocation(x)`.",Format,Java,Openrewrite,Org,,,,,,,,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.format.NoWhitespaceAfter,No whitespace after,"Removes unnecessary whitespace appearing after a token. A linebreak after a token is allowed unless `allowLineBreaks` is set to `false`, in which case it will be removed.",Format,Java,Openrewrite,Org,,,,,,,,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.format.NoWhitespaceBefore,No whitespace before,Removes unnecessary whitespace preceding a token. A linebreak before a token will be removed unless `allowLineBreaks` is set to `true`.,Format,Java,Openrewrite,Org,,,,,,,,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
